"Category","Type","Name","DisplayName","Path"
"Services","UnquotedServicePath","vmickvpexchange","Hyper-V Data Exchange Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","vmicshutdown","Hyper-V Guest Shutdown Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","vmictimesync","Hyper-V Time Synchronization Service","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Services","UnquotedServicePath","vmicvmsession","Hyper-V PowerShell Direct Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","vmicvss","Hyper-V Volume Shadow Copy Requestor","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","W32Time","Windows Time","C:\Windows\system32\svchost.exe -k LocalService"
"Services","UnquotedServicePath","WaaSMedicSvc","Windows Update Medic Service","C:\Windows\system32\svchost.exe -k wusvcs -p"
"Services","UnquotedServicePath","WalletService","WalletService","C:\Windows\System32\svchost.exe -k appmodel -p"
"Services","UnquotedServicePath","WarpJITSvc","Warp JIT Service","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"Services","UnquotedServicePath","WbioSrvc","Windows Biometric Service","C:\Windows\system32\svchost.exe -k WbioSvcGroup"
"Services","UnquotedServicePath","Wcmsvc","Windows Connection Manager","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Services","UnquotedServicePath","WdiServiceHost","Diagnostic Service Host","C:\Windows\System32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","WdiSystemHost","Diagnostic System Host","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","Wecsvc","Windows Event Collector","C:\Windows\system32\svchost.exe -k NetworkService -p"
"Services","UnquotedServicePath","WEPHOSTSVC","Windows Encryption Provider Host Service","C:\Windows\system32\svchost.exe -k WepHostSvcGroup"
