"Check","Name","Value"
"ScheduledTasks","USO_UxBroker","\Microsoft\Windows\UpdateOrchestrator\"
"ScheduledTasks","UUS Failover Task","\Microsoft\Windows\UpdateOrchestrator\"
"ScheduledTasks","UPnPHostConfig","\Microsoft\Windows\UPnP\"
"ScheduledTasks","HiveUploadTask","\Microsoft\Windows\User Profile Service\"
"ScheduledTasks","PerformRemediation","\Microsoft\Windows\WaaSMedic\"
"ScheduledTasks","ResolutionHost","\Microsoft\Windows\WDI\"
"ScheduledTasks","Windows Defender Cache Maintenance","\Microsoft\Windows\Windows Defender\"
"ScheduledTasks","Windows Defender Cleanup","\Microsoft\Windows\Windows Defender\"
"ScheduledTasks","Windows Defender Scheduled Scan","\Microsoft\Windows\Windows Defender\"
"ScheduledTasks","Windows Defender Verification","\Microsoft\Windows\Windows Defender\"
"ScheduledTasks","QueueReporting","\Microsoft\Windows\Windows Error Reporting\"
"ScheduledTasks","BfeOnServiceStartTypeChange","\Microsoft\Windows\Windows Filtering Platform\"
"ScheduledTasks","UpdateLibrary","\Microsoft\Windows\Windows Media Sharing\"
"ScheduledTasks","Calibration Loader","\Microsoft\Windows\WindowsColorSystem\"
"ScheduledTasks","Scheduled Start","\Microsoft\Windows\WindowsUpdate\"
"ScheduledTasks","CacheTask","\Microsoft\Windows\Wininet\"
"ScheduledTasks","Automatic-Device-Join","\Microsoft\Windows\Workplace Join\"
"ScheduledTasks","Device-Sync","\Microsoft\Windows\Workplace Join\"
"ScheduledTasks","Recovery-Check","\Microsoft\Windows\Workplace Join\"
"ScheduledTasks","OobeDiscovery","\Microsoft\Windows\WwanSvc\"
"InterestingFiles","C:\Windows\System32\drivers\etc\hosts","824"
"InterestingFiles","C:\Windows\System32\drivers\etc\services","17635"
"InterestingFiles","C:\Windows\Tasks","1"
"AutoLogon","Credentials","User=;Domain=;Password="
"UnattendedInstalls","UnattendFile",
"AlwaysInstallElevated","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Installer",""
"AlwaysInstallElevated","HKCU:\SOFTWARE\Policies\Microsoft\Windows\Installer",""
"VSSWriters","Writer name","'Task Scheduler Writer'"
"VSSWriters","Writer name","'VSS Metadata Store Writer'"
"VSSWriters","Writer name","'Performance Counters Writer'"
"VSSWriters","Writer name","'System Writer'"
"VSSWriters","Writer name","'WMI Writer'"
"VSSWriters","Writer name","'ASR Writer'"
"VSSWriters","Writer name","'DFS Replication service writer'"
"VSSWriters","Writer name","'Registry Writer'"
"VSSWriters","Writer name","'NTDS'"
"VSSWriters","Writer name","'Shadow Copy Optimization Writer'"
"VSSWriters","Writer name","'COM+ REGDB Writer'"
"CurrentUserGroups","","Everyone"
"CurrentUserGroups","Mandatory group, Enabled by default, Enabled group, Group owner","BUILTIN\Administrators"
"CurrentUserGroups","","BUILTIN\Users"
"CurrentUserGroups","","BUILTIN\Pre-Windows 2000 Compatible Access"
"CurrentUserGroups","","NT AUTHORITY\NETWORK"
"CurrentUserGroups","","NT AUTHORITY\Authenticated Users"
"CurrentUserGroups","","NT AUTHORITY\This Organization"
"CurrentUserGroups","","KENTEST\Group Policy Creator Owners"
"CurrentUserGroups","","KENTEST\Domain Admins"
"CurrentUserGroups","","KENTEST\Schema Admins"
"CurrentUserGroups","","KENTEST\Enterprise Admins"
"CurrentUserGroups","S-1-5-21-591775354-1498930417-4130056636-572 Mandatory group, Enabled by default, Enabled group, Local Group","KENTEST\Denied RODC Password Replication Group Alias"
"CurrentUserGroups","","NT AUTHORITY\NTLM Authentication"
"CurrentUserGroups","","Mandatory Label\High Mandatory Level"

