"Check","Name","Value"
"UnquotedServicePath","StateRepository","C:\Windows\system32\svchost.exe -k appmodel -p"
"UnquotedServicePath","StiSvc","C:\Windows\system32\svchost.exe -k imgsvc"
"UnquotedServicePath","StorSvc","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","svsvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","swprv","C:\Windows\System32\svchost.exe -k swprv"
"UnquotedServicePath","SysMain","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","SystemEventsBroker","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"UnquotedServicePath","TabletInputService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","tapisrv","C:\Windows\System32\svchost.exe -k NetworkService -p"
"UnquotedServicePath","TermService","C:\Windows\System32\svchost.exe -k termsvcs"
"UnquotedServicePath","Themes","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","TimeBrokerSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"UnquotedServicePath","TokenBroker","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","TrkWks","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","tzautoupdate","C:\Windows\system32\svchost.exe -k LocalService -p"
"UnquotedServicePath","UALSVC","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","UmRdpService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","upnphost","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"UnquotedServicePath","UserManager","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","UsoSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","vmicguestinterface","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","vmicheartbeat","C:\Windows\system32\svchost.exe -k ICService -p"
"UnquotedServicePath","vmickvpexchange","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","vmicshutdown","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","vmictimesync","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"UnquotedServicePath","vmicvmsession","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","vmicvss","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","W32Time","C:\Windows\system32\svchost.exe -k LocalService"
"UnquotedServicePath","WaaSMedicSvc","C:\Windows\system32\svchost.exe -k wusvcs -p"
"UnquotedServicePath","WalletService","C:\Windows\System32\svchost.exe -k appmodel -p"
"UnquotedServicePath","WarpJITSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"UnquotedServicePath","WbioSrvc","C:\Windows\system32\svchost.exe -k WbioSvcGroup"
"UnquotedServicePath","Wcmsvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"UnquotedServicePath","WdiServiceHost","C:\Windows\System32\svchost.exe -k LocalService -p"
"UnquotedServicePath","WdiSystemHost","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","Wecsvc","C:\Windows\system32\svchost.exe -k NetworkService -p"
"UnquotedServicePath","WEPHOSTSVC","C:\Windows\system32\svchost.exe -k WepHostSvcGroup"
"UnquotedServicePath","wercplsupport","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","WerSvc","C:\Windows\System32\svchost.exe -k WerSvcGroup"
"UnquotedServicePath","WiaRpc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","WinHttpAutoProxySvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"UnquotedServicePath","Winmgmt","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","WinRM","C:\Windows\System32\svchost.exe -k NetworkService -p"
"UnquotedServicePath","wisvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","wlidsvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","WPDBusEnum","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted"
"UnquotedServicePath","WpnService","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","WSearch","C:\Windows\system32\SearchIndexer.exe /Embedding"
