"DisplayName","Name","State","StartMode","PathName","Suspicious"
"Mellanox ConnectX Bus Enumerator","mlx4_bus","Stopped","Manual","C:\Windows\system32\drivers\mlx4_bus.sys","False"
"Multimedia Class Scheduler","MMCSS","Running","Auto","C:\Windows\system32\drivers\mmcss.sys","False"
"Modem","Modem","Stopped","Manual","C:\Windows\system32\drivers\modem.sys","False"
"Microsoft Monitor Class Function Driver Service","monitor","Running","Manual","C:\Windows\system32\drivers\monitor.sys","False"
"Mouse Class Driver","mouclass","Running","Manual","C:\Windows\system32\drivers\mouclass.sys","False"
"Mouse HID Driver","mouhid","Running","Manual","C:\Windows\system32\drivers\mouhid.sys","False"
"Mount Point Manager","mountmgr","Running","Boot","C:\Windows\system32\drivers\mountmgr.sys","False"
"Windows Defender Firewall Authorization Driver","mpsdrv","Running","Manual","C:\Windows\system32\drivers\mpsdrv.sys","False"
"WebDav Client Redirector Driver","MRxDAV","Stopped","Manual","C:\Windows\system32\drivers\mrxdav.sys","False"
"SMB MiniRedirector Wrapper and Engine","mrxsmb","Running","Manual","C:\Windows\system32\DRIVERS\mrxsmb.sys","False"
"SMB 1.x MiniRedirector","mrxsmb10","Running","Auto","C:\Windows\system32\DRIVERS\mrxsmb10.sys","False"
"SMB 2.0 MiniRedirector","mrxsmb20","Running","Manual","C:\Windows\system32\DRIVERS\mrxsmb20.sys","False"
"Microsoft MAC Bridge","MsBridge","Stopped","Manual","C:\Windows\system32\drivers\bridge.sys","False"
"Msfs","Msfs","Running","System","C:\Windows\system32\drivers\Msfs.sys","False"
"Common Driver for Buttons, DockMode and Laptop/Slate Indicator","msgpiowin32","Stopped","Manual","C:\Windows\system32\drivers\msgpiowin32.sys","False"
"Pass-through HID to KMDF Filter Driver","mshidkmdf","Stopped","Manual","C:\Windows\system32\drivers\mshidkmdf.sys","False"
"Pass-through HID to UMDF Driver","mshidumdf","Stopped","Manual","C:\Windows\system32\drivers\mshidumdf.sys","False"
"msisadrv","msisadrv","Running","Boot","C:\Windows\system32\drivers\msisadrv.sys","False"
"Microsoft Streaming Service Proxy","MSKSSRV","Stopped","Manual","C:\Windows\system32\drivers\MSKSSRV.sys","False"
"Microsoft Link-Layer Discovery Protocol","MsLldp","Running","Auto","C:\Windows\system32\drivers\mslldp.sys","False"
"Microsoft Streaming Clock Proxy","MSPCLOCK","Stopped","Manual","C:\Windows\system32\drivers\MSPCLOCK.sys","False"
"Microsoft Streaming Quality Manager Proxy","MSPQM","Stopped","Manual","C:\Windows\system32\drivers\MSPQM.sys","False"
"MsQuic","MsQuic","Running","Manual","C:\Windows\system32\drivers\msquic.sys","False"
"MsRPC","MsRPC","Stopped","Manual","C:\Windows\system32\drivers\MsRPC.sys","False"
"Microsoft Security Core Boot Driver","MsSecCore","Running","Boot","C:\Windows\system32\drivers\msseccore.sys","False"
"Microsoft Security Events Component Minifilter","MsSecFlt","Stopped","Manual","C:\Windows\system32\drivers\mssecflt.sys","False"
"Microsoft Security WFP Callout Driver","MsSecWfp","Stopped","Manual","C:\Windows\system32\drivers\mssecwfp.sys","False"
"Microsoft System Management BIOS Driver","mssmbios","Running","System","C:\Windows\system32\drivers\mssmbios.sys","False"
"Microsoft Streaming Tee/Sink-to-Sink Converter","MSTEE","Stopped","Manual","C:\Windows\system32\drivers\MSTEE.sys","False"
"Microsoft Input Configuration Driver","MTConfig","Stopped","Manual","C:\Windows\system32\drivers\MTConfig.sys","False"
"Mup","Mup","Running","Boot","C:\Windows\system32\Drivers\mup.sys","False"
"mvumis","mvumis","Stopped","Manual","C:\Windows\system32\drivers\mvumis.sys","False"
"NativeWiFi Filter","NativeWifiP","Stopped","Manual","C:\Windows\system32\DRIVERS\nwifi.sys","False"
"NetworkDirect Service","ndfltr","Stopped","Manual","C:\Windows\system32\drivers\ndfltr.sys","False"
"NDIS System Driver","NDIS","Running","Boot","C:\Windows\system32\drivers\ndis.sys","False"
"Microsoft NDIS Capture","NdisCap","Running","System","C:\Windows\system32\drivers\ndiscap.sys","False"
"Microsoft Network Adapter Multiplexor Protocol","NdisImPlatform","Stopped","Manual","C:\Windows\system32\drivers\NdisImPlatform.sys","False"
"Remote Access NDIS TAPI Driver","NdisTapi","Running","Manual","C:\Windows\system32\DRIVERS\ndistapi.sys","False"
"NDIS Usermode I/O Protocol","Ndisuio","Stopped","Manual","C:\Windows\system32\drivers\ndisuio.sys","False"
"Microsoft Virtual Network Adapter Enumerator","NdisVirtualBus","Running","Manual","C:\Windows\system32\drivers\NdisVirtualBus.sys","False"
"Remote Access NDIS WAN Driver","NdisWan","Running","Manual","C:\Windows\system32\drivers\ndiswan.sys","False"
"Remote Access LEGACY NDIS WAN Driver","ndiswanlegacy","Stopped","Manual","C:\Windows\system32\DRIVERS\ndiswan.sys","False"
"NDKPing Driver","NDKPing","Stopped","Manual","C:\Windows\system32\drivers\NDKPing.sys","False"
"NDIS Proxy Driver","ndproxy","Running","Manual","C:\Windows\system32\DRIVERS\NDProxy.sys","False"
"Windows Network Data Usage Monitoring Driver","Ndu","Running","Auto","C:\Windows\system32\drivers\Ndu.sys","False"
"Network Adapter Wdf Class Extension Library","NetAdapterCx","Stopped","Manual","C:\Windows\system32\drivers\NetAdapterCx.sys","False"
"NetBIOS Interface","NetBIOS","Running","System","C:\Windows\system32\drivers\netbios.sys","False"
"NetBT","NetBT","Running","System","C:\Windows\system32\DRIVERS\netbt.sys","False"
"netvsc","netvsc","Stopped","Manual","C:\Windows\system32\drivers\netvsc.sys","False"
"Npfs","Npfs","Running","System","C:\Windows\system32\drivers\Npfs.sys","False"
"Named pipe service trigger provider","npsvctrig","Running","System","C:\Windows\system32\drivers\npsvctrig.sys","False"
"NSI Proxy Service Driver","nsiproxy","Running","System","C:\Windows\system32\drivers\nsiproxy.sys","False"
"Ntfs","Ntfs","Running","Manual","C:\Windows\system32\drivers\Ntfs.sys","False"
"Null","Null","Running","System","C:\Windows\system32\drivers\Null.sys","False"
"Microsoft NVDIMM device driver","nvdimm","Stopped","Manual","C:\Windows\system32\drivers\nvdimm.sys","False"
"nvraid","nvraid","Stopped","Manual","C:\Windows\system32\drivers\nvraid.sys","False"
"nvstor","nvstor","Stopped","Manual","C:\Windows\system32\drivers\nvstor.sys","False"
"Parallel port driver","Parport","Stopped","Manual","C:\Windows\system32\drivers\parport.sys","False"
"Partition driver","partmgr","Running","Boot","C:\Windows\system32\drivers\partmgr.sys","False"
"PCI Bus Driver","pci","Running","Boot","C:\Windows\system32\drivers\pci.sys","False"
"pciide","pciide","Stopped","Manual","C:\Windows\system32\drivers\pciide.sys","False"
